system,src,tgt
Convert natural language to regular expression.,lines with a lower-case letter at least once before a number or a character,(([a-z])+).*(([0-9])|(.)).*
Convert natural language to regular expression.,"lines not having a lower-case letter, not a vowel, and not a letter",~(([a-z])&([AEIOUaeiou])&([A-Za-z]))
Convert natural language to regular expression.,"lines with a capital letter before either the string 'dog', a vowel, or a character",([A-Z]).*((dog)|([AEIOUaeiou])|(.)).*
Convert natural language to regular expression.,"lines with a capital letter or a lower-case letter, zero or more times",(([A-Z])|([a-z]))*
Convert natural language to regular expression.,"lines starting with words with the string 'dog', 3 or more times","(\b(dog){3,}\b)(.*)"
Convert natural language to regular expression.,lines not having a number before the string 'dog',(~([0-9])).*(dog).*
Convert natural language to regular expression.,lines with a capital letter followed by a letter before a vowel,([A-Z].*[A-Za-z].*).*([AEIOUaeiou]).*
Convert natural language to regular expression.,"lines with a number at least once or either the string 'dog', a capital letter, or the string 'truck'",(([0-9])+)|((dog)|([A-Z])|(truck))
Convert natural language to regular expression.,"lines with a capital letter or a vowel, 7 or more times","(([A-Z])|([AEIOUaeiou])){7,}"
Convert natural language to regular expression.,lines with words that contain a lower-case letter or the string 'dog',\b(.*[a-z].*)|(dog)\b
Convert natural language to regular expression.,lines with words with a capital letter followed by the string 'dog' before a character,\b([A-Z].*dog.*).*(.).*\b
Convert natural language to regular expression.,"lines not having the string 'dog', not a vowel, and not a lower-case letter",~((dog)&([AEIOUaeiou])&([a-z]))
Convert natural language to regular expression.,"lines with a letter followed by a vowel, 4 or more times","([A-Za-z].*[AEIOUaeiou].*){4,}"
Convert natural language to regular expression.,lines not having a letter before a number,~(([A-Za-z]).*([0-9]).*)
Convert natural language to regular expression.,lines with a capital letter or a vowel before a number,(([A-Z])|([AEIOUaeiou])).*([0-9]).*
Convert natural language to regular expression.,"lines with a vowel before a character, the string 'dog', and a letter",([AEIOUaeiou]).*((.)&(dog)&([A-Za-z])).*
Convert natural language to regular expression.,lines with a number before a lower-case letter or a capital letter,([0-9]).*(([a-z])|([A-Z])).*
Convert natural language to regular expression.,lines ending with containing a character,(.*)(.*..*)
Convert natural language to regular expression.,"lines containing a letter or the string 'dog', a capital letter, and the string 'truck'",.*([A-Za-z])|((dog)&([A-Z])&(truck)).*
Convert natural language to regular expression.,lines with a capital letter followed by the string 'dog' and starting with the string 'truck',([A-Z].*dog.*)&((truck)(.*))
Convert natural language to regular expression.,lines starting with a lower-case letter followed by a character or a vowel,(([a-z].*..*)|([AEIOUaeiou]))(.*)
Convert natural language to regular expression.,"lines not having the string 'dog', 4 or more times","~((dog){4,})"
Convert natural language to regular expression.,lines with a capital letter followed by the string 'dog' before a lower-case letter,([A-Z].*dog.*).*([a-z]).*
Convert natural language to regular expression.,lines with a character at least once before a number,((.)+).*([0-9]).*
Convert natural language to regular expression.,lines starting with a lower-case letter or a vowel,(([a-z])|([AEIOUaeiou]))(.*)
Convert natural language to regular expression.,"lines with a lower-case letter followed by a number, 2 or more times","([a-z].*[0-9].*){2,}"
Convert natural language to regular expression.,"lines containing either a capital letter, a character, or a number",.*([A-Z])|(.)|([0-9]).*
Convert natural language to regular expression.,"lines not ending with the string 'dog', 7 or more times","~(((.*)(dog)){7,})"
Convert natural language to regular expression.,"lines with words with a lower-case letter, a character, and the string 'dog'",\b([a-z])&(.)&(dog)\b
Convert natural language to regular expression.,"lines with a number, zero or more times or containing the string 'dog'",(([0-9])*)|(.*dog.*)
Convert natural language to regular expression.,"lines with the string 'dog' before a vowel, the string 'truck', and a capital letter",(dog).*(([AEIOUaeiou])&(truck)&([A-Z])).*
Convert natural language to regular expression.,"lines starting with a number, 5 or more times","(([0-9]){5,})(.*)"
Convert natural language to regular expression.,lines with a number before containing a lower-case letter,([0-9]).*(.*[a-z].*).*
Convert natural language to regular expression.,"lines with words with a number, a vowel, and a letter",\b([0-9])&([AEIOUaeiou])&([A-Za-z])\b
Convert natural language to regular expression.,"lines ending with a vowel, 6 or more times","((.*)([AEIOUaeiou])){6,}"
Convert natural language to regular expression.,lines with words with a number followed by the string 'dog',\b[0-9].*dog.*\b
Convert natural language to regular expression.,"lines with a capital letter, 3 or more times or containing the string 'dog'","(([A-Z]){3,})|(.*dog.*)"
Convert natural language to regular expression.,lines containing words with ending with a lower-case letter,.*\b(.*)([a-z])\b.*
Convert natural language to regular expression.,lines not having the string 'dog' or a number before a lower-case letter,~(((dog)|([0-9])).*([a-z]).*)
Convert natural language to regular expression.,lines starting with a capital letter followed by a character at least once,(([A-Z].*..*)(.*))+
Convert natural language to regular expression.,lines with a number followed by the string 'dog' before a vowel,([0-9].*dog.*).*([AEIOUaeiou]).*
Convert natural language to regular expression.,"lines having either a vowel, the string 'dog', or a character before the string 'truck'",(([AEIOUaeiou])|(dog)|(.)).*(truck).*
Convert natural language to regular expression.,"lines having either a lower-case letter, a letter, or the string 'dog' before the string 'truck'",(([a-z])|([A-Za-z])|(dog)).*(truck).*
Convert natural language to regular expression.,lines with words with a capital letter followed by a lower-case letter,\b[A-Z].*[a-z].*\b
Convert natural language to regular expression.,lines containing containing only a capital letter at least once,.*([A-Z])+.*
Convert natural language to regular expression.,"lines with the string 'dog' or a character, 4 or more times","((dog)|(.)){4,}"
Convert natural language to regular expression.,lines with a vowel before the string 'dog' and a letter,([AEIOUaeiou]).*((dog)&([A-Za-z])).*
Convert natural language to regular expression.,lines with the string 'dog' and a vowel before the string 'truck',((dog)&([AEIOUaeiou])).*(truck).*
Convert natural language to regular expression.,lines containing ending with a lower-case letter followed by a letter,.*(.*)([a-z].*[A-Za-z].*).*
Convert natural language to regular expression.,lines with words with the string 'dog' before a lower-case letter or a letter,\b((dog).*([a-z]).*)|([A-Za-z])\b
Convert natural language to regular expression.,"lines with a character, 7 or more times before a letter","((.){7,}).*([A-Za-z]).*"
Convert natural language to regular expression.,lines with a character before not a capital letter,(.).*(~([A-Z])).*
Convert natural language to regular expression.,lines with a character and the string 'dog' before a capital letter,((.)&(dog)).*([A-Z]).*
Convert natural language to regular expression.,"lines not having a number, a lower-case letter, or the string 'dog'",~(([0-9])|([a-z])|(dog))
Convert natural language to regular expression.,lines not words with a letter at least once,~(\b([A-Za-z])+\b)
Convert natural language to regular expression.,"lines having the string 'dog', a number, and the string 'truck' before the string 'ring'",((dog)&([0-9])&(truck)).*(ring).*
Convert natural language to regular expression.,"lines with words that don't the string 'dog', the string 'truck', or a character",\b~((dog)|(truck)|(.))\b
Convert natural language to regular expression.,"lines with the string 'dog' or containing only the string 'truck', zero or more times",((dog)|(truck))*
Convert natural language to regular expression.,"lines having a number, a lower-case letter, and a vowel before a capital letter",(([0-9])&([a-z])&([AEIOUaeiou])).*([A-Z]).*
Convert natural language to regular expression.,"lines with a capital letter followed by a number, 4 or more times","([A-Z].*[0-9].*){4,}"
Convert natural language to regular expression.,"lines not words with the string 'dog', 5 or more times","~(\b(dog){5,}\b)"
Convert natural language to regular expression.,"lines with the string 'dog' followed by the string 'truck', 6 or more times","(dog.*truck.*){6,}"
Convert natural language to regular expression.,lines not having the string 'dog' followed by the string 'truck' before a lower-case letter,~((dog.*truck.*).*([a-z]).*)
Convert natural language to regular expression.,lines containing containing only a letter at least once,(.*[A-Za-z].*)+
Convert natural language to regular expression.,lines ending with a lower-case letter,(.*)([a-z])
Convert natural language to regular expression.,"lines with the string 'dog', zero or more times or not the string 'truck'",((dog)*)|(~(truck))
Convert natural language to regular expression.,"lines having a character, the string 'dog', and a letter before a number",((.)&(dog)&([A-Za-z])).*([0-9]).*
Convert natural language to regular expression.,lines with words that don't ending with the string 'dog',\b~((.*)(dog))\b
Convert natural language to regular expression.,"lines ending with a capital letter, 5 or more times","(.*)(([A-Z]){5,})"
Convert natural language to regular expression.,"lines with words with a vowel, a number, and a letter",\b([AEIOUaeiou])&([0-9])&([A-Za-z])\b
Convert natural language to regular expression.,"lines with a number or the string 'dog', 7 or more times","(([0-9])|(dog)){7,}"
Convert natural language to regular expression.,"lines containing containing only a number, 2 or more times","(.*[0-9].*){2,}"
Convert natural language to regular expression.,"lines having either a lower-case letter, a capital letter, or a number before a vowel",(([a-z])|([A-Z])|([0-9])).*([AEIOUaeiou]).*
Convert natural language to regular expression.,"lines ending with the string 'dog' followed by a character, 4 or more times","(.*)((dog.*..*){4,})"
Convert natural language to regular expression.,"lines with the string 'dog' or the string 'truck', 3 or more times before a character","(((dog)|(truck)){3,}).*(.).*"
Convert natural language to regular expression.,lines with a number before the string 'dog' and a character,([0-9]).*((dog)&(.)).*
Convert natural language to regular expression.,lines not having a letter before a number followed by the string 'dog',(~([A-Za-z])).*([0-9].*dog.*).*
Convert natural language to regular expression.,"lines with the string 'dog' before a lower-case letter, the string 'truck', and a number",(dog).*(([a-z])&(truck)&([0-9])).*
Convert natural language to regular expression.,lines ending with the string 'dog' or a character,(.*)((dog)|(.))
Convert natural language to regular expression.,lines with a capital letter and a lower-case letter before the string 'dog',(([A-Z])&([a-z])).*(dog).*
Convert natural language to regular expression.,lines with the string 'dog' and a character or the string 'truck' at least once,(((dog)&(.))|(truck))+
Convert natural language to regular expression.,"lines with words with ending with a letter, 4 or more times","(\b(.*)([A-Za-z])\b){4,}"
Convert natural language to regular expression.,lines with words with a character or a capital letter,\b(.)|([A-Z])\b
Convert natural language to regular expression.,lines with words with the string 'dog' at least once or the string 'truck',\b((dog)+)|(truck)\b
Convert natural language to regular expression.,"lines having a number, a character, and a letter before the string 'dog'",(([0-9])&(.)&([A-Za-z])).*(dog).*
Convert natural language to regular expression.,lines with words with a letter followed by a capital letter,\b[A-Za-z].*[A-Z].*\b
Convert natural language to regular expression.,lines with words with starting with a lower-case letter,\b([a-z])(.*)\b
Convert natural language to regular expression.,"lines with a letter before a number, a character, and a vowel",([A-Za-z]).*(([0-9])&(.)&([AEIOUaeiou])).*
Convert natural language to regular expression.,"lines ending with a character before either the string 'dog', a number, or the string 'truck'",((.*)(.)).*((dog)|([0-9])|(truck)).*
Convert natural language to regular expression.,"lines with words with a capital letter followed by a character, zero or more times",(\b[A-Z].*..*\b)*
Convert natural language to regular expression.,"lines with a capital letter followed by a letter, 5 or more times","([A-Z].*[A-Za-z].*){5,}"
Convert natural language to regular expression.,"lines with a number, 6 or more times or the string 'dog' and a letter","(([0-9]){6,})|((dog)&([A-Za-z]))"
Convert natural language to regular expression.,lines with the string 'dog' or the string 'truck' at least once before the string 'ring',(((dog)|(truck))+).*(ring).*
Convert natural language to regular expression.,"lines with a capital letter before a lower-case letter, zero or more times",([A-Z]).*(([a-z])*).*
Convert natural language to regular expression.,lines with a lower-case letter before the string 'dog' or ending with a number,(([a-z]).*(dog).*)|((.*)([0-9]))
Convert natural language to regular expression.,"lines containing a lower-case letter, a capital letter, and the string 'dog'",.*([a-z])&([A-Z])&(dog).*
Convert natural language to regular expression.,"lines with words with the string 'dog', a number, and a vowel",\b(dog)&([0-9])&([AEIOUaeiou])\b
Convert natural language to regular expression.,lines with words with the string 'dog' or the string 'truck' before the string 'ring',\b((dog)|(truck)).*(ring).*\b
Convert natural language to regular expression.,"lines with words with the string 'dog' before a vowel, 3 or more times","(\b(dog).*([AEIOUaeiou]).*\b){3,}"
Convert natural language to regular expression.,"lines containing a capital letter, 3 or more times","(.*[A-Z].*){3,}"
Convert natural language to regular expression.,lines starting with a letter and a vowel followed by the string 'dog',(([A-Za-z])(.*))&([AEIOUaeiou].*dog.*)
Convert natural language to regular expression.,"lines with a capital letter before the string 'dog' or a character, 2 or more times","(([A-Z]).*(dog).*)|((.){2,})"
Convert natural language to regular expression.,"lines with a vowel, zero or more times before the string 'dog'",(([AEIOUaeiou])*).*(dog).*
Convert natural language to regular expression.,lines with words with ending with containing a lower-case letter,\b(.*)(.*[a-z].*)\b
Convert natural language to regular expression.,lines with a letter before containing the string 'dog' or a character,([A-Za-z]).*(.*(dog)|(.).*).*
Convert natural language to regular expression.,lines starting with a letter at least once before a capital letter,((([A-Za-z])+)(.*)).*([A-Z]).*
Convert natural language to regular expression.,lines with words with ending with a capital letter and the string 'dog',\b((.*)([A-Z]))&(dog)\b
Convert natural language to regular expression.,"lines having either the string 'dog', a vowel, or a capital letter before a character",((dog)|([AEIOUaeiou])|([A-Z])).*(.).*
Convert natural language to regular expression.,lines not having a character or a capital letter,~((.)|([A-Z]))
Convert natural language to regular expression.,"lines not containing a capital letter, the string 'dog', or a character",~(.*([A-Z])|(dog)|(.).*)
Convert natural language to regular expression.,lines ending with a number or a character at least once,(((.*)([0-9]))|(.))+
Convert natural language to regular expression.,"lines not having a character, a letter, or a lower-case letter",~((.)|([A-Za-z])|([a-z]))
Convert natural language to regular expression.,"lines with a letter, 7 or more times before a lower-case letter","(([A-Za-z]){7,}).*([a-z]).*"
Convert natural language to regular expression.,"lines with the string 'dog' followed by the string 'truck', 3 or more times","(dog.*truck.*){3,}"
Convert natural language to regular expression.,"lines containing either a letter, a lower-case letter, or a number",.*([A-Za-z])|([a-z])|([0-9]).*
Convert natural language to regular expression.,"lines with a lower-case letter or a number, 4 or more times","(([a-z])|([0-9])){4,}"
Convert natural language to regular expression.,lines starting with a capital letter followed by a letter,([A-Z].*[A-Za-z].*)(.*)
Convert natural language to regular expression.,"lines with words with a character or a number, 3 or more times","\b((.)|([0-9])){3,}\b"
Convert natural language to regular expression.,lines with words with the string 'dog' before ending with a lower-case letter,\b(dog).*((.*)([a-z])).*\b
Convert natural language to regular expression.,"lines starting with a character, 3 or more times","((.){3,})(.*)"
Convert natural language to regular expression.,lines with words with ending with the string 'dog' at least once,\b((.*)(dog))+\b
Convert natural language to regular expression.,lines not containing the string 'dog' or a lower-case letter,~((.*dog.*)|([a-z]))
Convert natural language to regular expression.,"lines with words with ending with a letter, 3 or more times","\b((.*)([A-Za-z])){3,}\b"
Convert natural language to regular expression.,"lines containing a lower-case letter and a capital letter, zero or more times",(.*([a-z])&([A-Z]).*)*
Convert natural language to regular expression.,lines with the string 'dog' or the string 'truck' before a lower-case letter and the string 'ring',((dog)|(truck)).*(([a-z])&(ring)).*
Convert natural language to regular expression.,lines with a lower-case letter and a letter before a character followed by the string 'dog',(([a-z])&([A-Za-z])).*(..*dog.*).*
Convert natural language to regular expression.,"lines containing either a lower-case letter, a capital letter, or a number",.*([a-z])|([A-Z])|([0-9]).*
Convert natural language to regular expression.,"lines with words with the string 'dog', a lower-case letter, and a capital letter",\b(dog)&([a-z])&([A-Z])\b
Convert natural language to regular expression.,lines with a capital letter at least once before containing a lower-case letter,(([A-Z])+).*(.*[a-z].*).*
Convert natural language to regular expression.,lines starting with a character before a vowel at least once,((.)(.*)).*(([AEIOUaeiou])+).*
Convert natural language to regular expression.,"lines with a character or a capital letter, 4 or more times","((.)|([A-Z])){4,}"
Convert natural language to regular expression.,lines not having the string 'dog' or a character followed by a letter,(~(dog))|(..*[A-Za-z].*)
Convert natural language to regular expression.,"lines not having the string 'dog', not a character, and not the string 'truck'",~((dog)&(.)&(truck))
Convert natural language to regular expression.,lines with a lower-case letter followed by a number before not the string 'dog',([a-z].*[0-9].*).*(~(dog)).*
Convert natural language to regular expression.,"lines having a letter, a lower-case letter, and the string 'dog' before a capital letter",(([A-Za-z])&([a-z])&(dog)).*([A-Z]).*
Convert natural language to regular expression.,lines with words with a lower-case letter before containing the string 'dog',\b([a-z]).*(.*dog.*).*\b
Convert natural language to regular expression.,"lines with words with a character or the string 'dog', 5 or more times","(\b(.)|(dog)\b){5,}"
Convert natural language to regular expression.,lines with a vowel before a lower-case letter and a number followed by a character,(([AEIOUaeiou]).*([a-z]).*)&([0-9].*..*)
Convert natural language to regular expression.,"lines with the string 'dog' or starting with the string 'truck', zero or more times",((dog)|((truck)(.*)))*
Convert natural language to regular expression.,"lines ending with containing only a character, 7 or more times","(.*)((.){7,})"
Convert natural language to regular expression.,"lines not having a lower-case letter, not a character, and not the string 'dog'",~(([a-z])&(.)&(dog))
Convert natural language to regular expression.,lines starting with a vowel before the string 'dog',(([AEIOUaeiou])(.*)).*(dog).*
Convert natural language to regular expression.,"lines having either the string 'dog', a capital letter, or a number before a character",((dog)|([A-Z])|([0-9])).*(.).*
Convert natural language to regular expression.,lines with a character before a number followed by a capital letter,(.).*([0-9].*[A-Z].*).*
Convert natural language to regular expression.,lines containing words with ending with the string 'dog',.*\b(.*)(dog)\b.*
Convert natural language to regular expression.,"lines not having a lower-case letter, a capital letter, or the string 'dog'",~(([a-z])|([A-Z])|(dog))
Convert natural language to regular expression.,"lines having either a vowel, the string 'dog', or a number before a capital letter",(([AEIOUaeiou])|(dog)|([0-9])).*([A-Z]).*
Convert natural language to regular expression.,"lines with words with the string 'dog' before the string 'truck', 3 or more times","\b(dog).*((truck){3,}).*\b"
Convert natural language to regular expression.,"lines having a lower-case letter, a capital letter, and a letter before a vowel",(([a-z])&([A-Z])&([A-Za-z])).*([AEIOUaeiou]).*
Convert natural language to regular expression.,lines ending with a lower-case letter and a character followed by the string 'dog',((.*)([a-z]))&(..*dog.*)
Convert natural language to regular expression.,lines with a capital letter before the string 'dog' and a lower-case letter,([A-Z]).*((dog)&([a-z])).*
Convert natural language to regular expression.,"lines having either a capital letter, a vowel, or the string 'dog' before a letter",(([A-Z])|([AEIOUaeiou])|(dog)).*([A-Za-z]).*
Convert natural language to regular expression.,lines not containing only a lower-case letter and not the string 'dog',~(([a-z])&(dog))
Convert natural language to regular expression.,"lines not having a letter, not the string 'dog', and not the string 'truck'",~(([A-Za-z])&(dog)&(truck))
Convert natural language to regular expression.,"lines containing a character or a number, 2 or more times","(.*(.)|([0-9]).*){2,}"
Convert natural language to regular expression.,"lines with words with the string 'dog' before a lower-case letter, zero or more times",(\b(dog).*([a-z]).*\b)*
Convert natural language to regular expression.,"lines containing a number, the string 'dog', and a capital letter",.*([0-9])&(dog)&([A-Z]).*
Convert natural language to regular expression.,"lines having either the string 'dog', a number, or a lower-case letter before a character",((dog)|([0-9])|([a-z])).*(.).*
Convert natural language to regular expression.,lines with a lower-case letter followed by a letter before a character,([a-z].*[A-Za-z].*).*(.).*
Convert natural language to regular expression.,lines ending with words that contain only a capital letter,(.*)(\b[A-Z]\b)
Convert natural language to regular expression.,lines not having a capital letter and not a lower-case letter,~(([A-Z])&([a-z]))
Convert natural language to regular expression.,"lines with words with either a lower-case letter, the string 'dog', or the string 'truck'",\b([a-z])|(dog)|(truck)\b
Convert natural language to regular expression.,"lines with words with a vowel, the string 'dog', and the string 'truck' and the string 'ring'",\b(([AEIOUaeiou])&(dog)&(truck))&(ring)\b
Convert natural language to regular expression.,"lines with a vowel, zero or more times",([AEIOUaeiou])*
Convert natural language to regular expression.,lines with words with the string 'dog' or the string 'truck' at least once,\b((dog)|(truck))+\b
Convert natural language to regular expression.,lines with words with the string 'dog' before a vowel or a character,\b((dog).*([AEIOUaeiou]).*)|(.)\b
Convert natural language to regular expression.,lines ending with a letter or a lower-case letter before the string 'dog',((.*)([A-Za-z]))|(([a-z]).*(dog).*)
Convert natural language to regular expression.,lines containing the string 'dog' and a capital letter,.*(dog)&([A-Z]).*
Convert natural language to regular expression.,"lines containing either a lower-case letter, a vowel, or a character",.*([a-z])|([AEIOUaeiou])|(.).*
Convert natural language to regular expression.,"lines having either a number, a vowel, or the string 'dog' before a lower-case letter",(([0-9])|([AEIOUaeiou])|(dog)).*([a-z]).*
Convert natural language to regular expression.,lines ending with containing a number,(.*)(.*[0-9].*)
Convert natural language to regular expression.,lines with a character before a letter at least once,(.).*(([A-Za-z])+).*
Convert natural language to regular expression.,lines not words that contain a capital letter,~(\b.*[A-Z].*\b)
Convert natural language to regular expression.,"lines with a number before a character, a capital letter, and the string 'dog'",([0-9]).*((.)&([A-Z])&(dog)).*
Convert natural language to regular expression.,"lines with words with a character before a letter, zero or more times",\b(.).*(([A-Za-z])*).*\b
Convert natural language to regular expression.,lines with a character before a vowel or a letter,(.).*(([AEIOUaeiou])|([A-Za-z])).*
Convert natural language to regular expression.,"lines with a vowel, zero or more times or the string 'dog', the string 'truck', and a number",(([AEIOUaeiou])*)|((dog)&(truck)&([0-9]))
Convert natural language to regular expression.,lines with words with the string 'dog' before a character or a capital letter,\b(dog).*((.)|([A-Z])).*\b
Convert natural language to regular expression.,lines with a number or the string 'dog' before a character,(([0-9])|(dog)).*(.).*
Convert natural language to regular expression.,lines ending with words with a letter and a number,(.*)(\b([A-Za-z])&([0-9])\b)
Convert natural language to regular expression.,lines with words with a letter before the string 'dog',\b([A-Za-z]).*(dog).*\b
Convert natural language to regular expression.,lines with the string 'dog' before a letter followed by a lower-case letter,(dog).*([A-Za-z].*[a-z].*).*
Convert natural language to regular expression.,"lines with a capital letter, 5 or more times before a number","(([A-Z]){5,}).*([0-9]).*"
Convert natural language to regular expression.,"lines having either a character, a number, or the string 'dog' before a letter",((.)|([0-9])|(dog)).*([A-Za-z]).*
Convert natural language to regular expression.,"lines containing a capital letter before a number, 7 or more times",".*([A-Z]).*(([0-9]){7,}).*.*"
Convert natural language to regular expression.,lines with words with a capital letter followed by a letter,\b[A-Z].*[A-Za-z].*\b
Convert natural language to regular expression.,"lines with a capital letter before either a character, a lower-case letter, or the string 'dog'",([A-Z]).*((.)|([a-z])|(dog)).*
Convert natural language to regular expression.,lines with the string 'dog' before a letter followed by a vowel,(dog).*([A-Za-z].*[AEIOUaeiou].*).*
Convert natural language to regular expression.,lines with a number before the string 'dog' followed by a letter,([0-9]).*(dog.*[A-Za-z].*).*
Convert natural language to regular expression.,"lines having a character, the string 'dog', and a vowel before a capital letter",((.)&(dog)&([AEIOUaeiou])).*([A-Z]).*
Convert natural language to regular expression.,lines with the string 'dog' before not a capital letter,(dog).*(~([A-Z])).*
Convert natural language to regular expression.,lines with a capital letter at least once before the string 'dog' or a lower-case letter,(([A-Z])+).*((dog)|([a-z])).*
Convert natural language to regular expression.,"lines with a character or the string 'dog', zero or more times",((.)|(dog))*
Convert natural language to regular expression.,lines ending with not containing a lower-case letter,(.*)(.*~([a-z]).*)
Convert natural language to regular expression.,"lines with words with a number, the string 'dog', and the string 'truck'",\b([0-9])&(dog)&(truck)\b
Convert natural language to regular expression.,"lines with the string 'dog' before either a vowel, a lower-case letter, or a character",(dog).*(([AEIOUaeiou])|([a-z])|(.)).*
Convert natural language to regular expression.,lines with words with starting with a number before a capital letter,\b(([0-9])(.*)).*([A-Z]).*\b
Convert natural language to regular expression.,lines not containing the string 'dog' followed by a capital letter,.*~(dog.*[A-Z].*).*
Convert natural language to regular expression.,"lines not having the string 'dog' or the string 'truck', 5 or more times","(~(dog))|((truck){5,})"
Convert natural language to regular expression.,lines with words with a letter or a capital letter at least once,(\b([A-Za-z])|([A-Z])\b)+
Convert natural language to regular expression.,"lines with words with either a capital letter, a lower-case letter, or the string 'dog' and the string 'truck'",\b(([A-Z])|([a-z])|(dog))&(truck)\b
Convert natural language to regular expression.,lines ending with a lower-case letter followed by the string 'dog' at least once,(.*)(([a-z].*dog.*)+)
Convert natural language to regular expression.,lines with a lower-case letter followed by a letter before the string 'dog',([a-z].*[A-Za-z].*).*(dog).*
Convert natural language to regular expression.,lines with a vowel before a number or the string 'dog',([AEIOUaeiou]).*(([0-9])|(dog)).*
Convert natural language to regular expression.,lines containing a vowel before a letter,.*([AEIOUaeiou]).*([A-Za-z]).*.*
Convert natural language to regular expression.,lines ending with words with a character and a letter,(.*)(\b(.)&([A-Za-z])\b)
Convert natural language to regular expression.,lines with a vowel or a capital letter before the string 'dog',(([AEIOUaeiou])|([A-Z])).*(dog).*
Convert natural language to regular expression.,"lines with words with either a number, a vowel, or a character",\b([0-9])|([AEIOUaeiou])|(.)\b
Convert natural language to regular expression.,"lines not having a number, a lower-case letter, or a character",~(([0-9])|([a-z])|(.))
Convert natural language to regular expression.,lines with a letter before containing a character,([A-Za-z]).*(.*..*).*
Convert natural language to regular expression.,"lines having either the string 'dog', the string 'truck', or a lower-case letter before the string 'ring'",((dog)|(truck)|([a-z])).*(ring).*
Convert natural language to regular expression.,lines not having a character followed by a capital letter,~(..*[A-Z].*)
Convert natural language to regular expression.,"lines with a vowel, 2 or more times","([AEIOUaeiou]){2,}"
Convert natural language to regular expression.,lines containing a lower-case letter or a number,.*([a-z])|([0-9]).*
Convert natural language to regular expression.,lines with a letter before a lower-case letter followed by a capital letter,([A-Za-z]).*([a-z].*[A-Z].*).*
Convert natural language to regular expression.,"lines with a number before a vowel, 3 or more times","([0-9]).*(([AEIOUaeiou]){3,}).*"
Convert natural language to regular expression.,lines with words with a lower-case letter or ending with the string 'dog',\b([a-z])|((.*)(dog))\b
Convert natural language to regular expression.,"lines not having a vowel, not a number, and not a lower-case letter",~(([AEIOUaeiou])&([0-9])&([a-z]))
Convert natural language to regular expression.,lines containing only a capital letter,[A-Z]
Convert natural language to regular expression.,"lines not having a capital letter, a vowel, or a character",~(([A-Z])|([AEIOUaeiou])|(.))
Convert natural language to regular expression.,"lines containing a number, a lower-case letter, and the string 'dog'",.*([0-9])&([a-z])&(dog).*
Convert natural language to regular expression.,lines not having a letter before a vowel,(~([A-Za-z])).*([AEIOUaeiou]).*
Convert natural language to regular expression.,lines with the string 'dog' at least once and a capital letter or the string 'truck',((dog)+)&(([A-Z])|(truck))
Convert natural language to regular expression.,"lines not having a vowel, 6 or more times","~(([AEIOUaeiou]){6,})"
Convert natural language to regular expression.,"lines with words with the string 'dog', a number, and a lower-case letter",\b(dog)&([0-9])&([a-z])\b
Convert natural language to regular expression.,"lines with a character followed by a vowel, 5 or more times","(..*[AEIOUaeiou].*){5,}"
Convert natural language to regular expression.,lines ending with a number before a character at least once,((.*)([0-9])).*((.)+).*
Convert natural language to regular expression.,lines starting with the string 'dog' or a lower-case letter,((dog)|([a-z]))(.*)
Convert natural language to regular expression.,"lines with a character or a number, zero or more times",((.)|([0-9]))*
Convert natural language to regular expression.,"lines with the string 'dog' before words with a lower-case letter, zero or more times",(dog).*(\b([a-z])*\b).*
Convert natural language to regular expression.,"lines with words with starting with a capital letter, 7 or more times","\b(([A-Z]){7,})(.*)\b"
Convert natural language to regular expression.,"lines not having a lower-case letter followed by a letter, zero or more times",~(([a-z].*[A-Za-z].*)*)
Convert natural language to regular expression.,"lines with words with either a character, a lower-case letter, or the string 'dog'",\b(.)|([a-z])|(dog)\b
Convert natural language to regular expression.,lines not having the string 'dog' or the string 'truck' before the string 'ring',~(((dog)|(truck)).*(ring).*)
Convert natural language to regular expression.,lines not having the string 'dog' at least once and not the string 'truck',~(((dog)+)&(truck))
Convert natural language to regular expression.,lines with words that contain the string 'dog' before a capital letter,\b(.*dog.*).*([A-Z]).*\b
Convert natural language to regular expression.,"lines having the string 'dog', the string 'truck', and the string 'ring' before a vowel",((dog)&(truck)&(ring)).*([AEIOUaeiou]).*
Convert natural language to regular expression.,lines not containing only a number or a letter,~(([0-9])|([A-Za-z]))
Convert natural language to regular expression.,"lines with the string 'dog' before a number, the string 'truck', and the string 'ring'",(dog).*(([0-9])&(truck)&(ring)).*
Convert natural language to regular expression.,lines with words with a number and a letter,\b([0-9])&([A-Za-z])\b
Convert natural language to regular expression.,"lines with the string 'dog', zero or more times before a capital letter",((dog)*).*([A-Z]).*
Convert natural language to regular expression.,lines not having a letter before a number and not a vowel,~((([A-Za-z]).*([0-9]).*)&([AEIOUaeiou]))
Convert natural language to regular expression.,lines with the string 'dog' at least once or containing a letter,((dog)+)|(.*[A-Za-z].*)
Convert natural language to regular expression.,"lines having a vowel, a capital letter, and a letter before the string 'dog'",(([AEIOUaeiou])&([A-Z])&([A-Za-z])).*(dog).*
Convert natural language to regular expression.,"lines not having a letter, the string 'dog', or a vowel",~(([A-Za-z])|(dog)|([AEIOUaeiou]))
Convert natural language to regular expression.,"lines with a character followed by a number or a capital letter, zero or more times",(..*[0-9].*)|(([A-Z])*)
