src,tgt
C/C(=C\CC[C@]1(C)CCc2c(C)c([O-])c(C)c(C)c2O1)CC/C=C(\C)C(=O)O,C/C(=C\CC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1)CCC(=O)[O-]
CC(C)NCC(O)COc1cccc2ccccc12,NCC(O)COc1cccc2ccccc12
CO[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O[C@@H]2O[C@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)[C@H]1NC(C)=O,CO[C@@H]1O[C@H](CO)[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)[C@H]1NC(C)=O
CCCCC/C=C\C[C@@H](/C=C/C=C\C/C=C\CCCC(=O)[O-])OO,CCCCC/C=C\C[C@@H]1OC1C(O)/C=C\C/C=C\CCCC(=O)O
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@H](CO)O1,OC[C@@H]1O[C@@H](n2cnc3c(O)ncnc32)C[C@@H]1O
[NH3+][C@@H](C[C@@H](O)C(=O)[O-])C(=O)[O-],[NH3+][C@@H](C[C@@H](O)C=O)C(=O)[O-]
O=C([O-])CC=Cc1cccnc1,O=C([O-])CCCc1cccnc1
CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,CC(C)CCCC(C)C1CCC2C3CC=C4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C
CC(CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O
CC(=O)OCC(COP(=O)(O)OP(=O)(O)O)OC(C)=O,CC(=O)OCC(COP(=O)(O)O)OC(C)=O
C[C@H](CCC([O-])=NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C[C@H](CCC([O-])=NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@@]21C
Cc1ccc2ccccc2n1,Cc1cc(=O)c2ccccc2[nH]1
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OS(=O)(=O)[O-]
O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2OC(n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
O=C/C=C\Cl,OC/C=C\Cl
c1ccsc1,C1=CC2OC2S1
CCCCCC/C=C\CCCCCCCCC[C@H](O)CC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],CCCCCC/C=C\CCCCCCCCC/C=C/C(=O)SCCN=C([O-])CCN=C([O-])[C@@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-]
C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C
[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-],C[NH2+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,N[C@@H](CCSC[C@H](N)C(=O)O)C(=O)O
C[C@@]1(F)[C@H](O)C(COP(=O)(O)O)O[C@H]1n1ccc(=O)[nH]c1=O,C[C@@]1(F)[C@H](O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1ccc(O)nc1=O
CC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(C)=O,CC(=O)OCC(COP(=O)([O-])[O-])OC(C)=O
CC1OC(COP(=O)(O)OC2C(COP(=O)(O)OC3C(CO)OC(C)C3O)OC(C)C2O)C(OC(=O)C(N)COP(=O)(O)O)C1O,CC1OC(COP(=O)(O)OC2C(COP(=O)(O)OC3C(CO)OC(C)C3O)OC(C)C2O)C(OC(=O)C(N)C[SeH])C1O
CC(C)CCCC(C)(O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
OCCc1c[nH]c2ccc(O)cc12,COc1ccc2[nH]cc(CCO)c2c1
CCCCCC(O)/C=C/C1C2CC(OO2)C1C/C=C\CCCC(=O)O,CCCCCC(O)/C=C/C1C(=O)CC(O)C1C/C=C\CCCC(=O)O
[NH3+]CCCC[NH2+]CCC[NH3+],[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+]
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,CSc1ccc2c(c1)N(CCC1CCCCN1)c1ccccc1S2
CC(C)NCC(O)COc1cccc2ccccc12,CC(C)NCC(O)COc1ccc(O)c2ccccc12
C[Se]CCC(N)C(=O)OC1C(O)C(COP(=O)(O)OC2C(COP(=O)(O)OC3C(CO)OC(C)C3O)OC(C)C2O)OC1n1cnc2c(N)ncnc21,C[Se]CCC(N)C(=O)O
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,C[C@]12CCC3C(CCC4C[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)CC[C@@]43C)C1CCC2=O
CC(C)[C@H](O)CC[C@H](C)[C@@H]1CC[C@@H]2[C@H]3[C@@H](O)C=C4C[C@H](O)CC[C@@]4(C)[C@@H]3CC[C@@]12C,CC(C)C(O)CC[C@H](C)C1CCC2C3C(CC[C@]21C)[C@]1(C)CCC(=O)C=C1C[C@@H]3O
O=C([O-])C(=O)CO,O=C([O-])[C@H](O)CO
O=C(O)C1=NCCCC1,O=C([O-])[C@@H]1CCCC[NH2+]1
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O[C@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1[nH]c(=O)[nH]c(=O)c1N2
O=S(=O)([O-])S,O=S([O-])[O-]
O=C=O,O=NOOC(=O)[O-]
CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,CN1[C@H]2CC[C@@H]1C[C@](O)(OC(c1ccccc1)c1ccccc1)C2
Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]1
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
O=C([O-])Cc1ccccc1O,O=C([O-])C(=O)Cc1ccccc1
O=C([O-])CCC[C@@H](O)/C=C\C=CCC[C@@H](O)C/C=C\CCCCC(O)O,O=C([O-])CCC[C@@H](O)/C=C\C=C\CC[C@@H](O)C/C=C\CCCCC(O)(O)O
O=C1c2cc(O)c(O)cc2CC1CC1CCN(Cc2ccccc2)CC1,O=C1c2cc(O)c(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc2CC1CC1CCN(Cc2ccccc2)CC1
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
CCCCOCCOC(=O)c1cccnc1,CCCCOCCO
FC(F)OC(F)(F)C(F)Cl,O=C(F)C(F)(F)OC(F)F
CCC=CCC=CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],CC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CCCCC(=O)OC[C@H](O)COP(=O)([O-])[O-]
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C([O-])=NCCC([O-])=NCCSC(=O)CC(=O)[O-],CCCCC/C=C\C/C=C\C/C=C\CC=CCCCC(=O)CC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
Cc1c2c(c(C)c3ccccc13)C1OC1c1ccccc1-2,Cc1c2c(c(C)c3ccccc13)[C@H](O)[C@@H](O)c1ccccc1-2
C[C@@H](O)CC(=O)[O-],CCC(O)C(=O)[O-]
CCCCC[C@@H](C=CC=CC=CC=CC[C@@H](O)CCCC(=O)[O-])OO,CCCCC[C@H](O)C=CC=CC=CC=C[C@@H](O)[C@@H](O)CCCC(=O)[O-]
Nc1c(Cl)cc(C(=O)NC2CCN(CCCO)CC2)c2c1CCO2,Nc1c(Cl)cc(C(=O)NC2CCN(CCC(=O)O)CC2)c2c1CCO2
NCC(=O)O,NCC(=O)NC1OC(COP(=O)(O)O)C(O)C1O
CCCCCCCCCCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],CCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CC(C)(O)C#N,CC(C)(C#N)OC1OC(CO)C(O)C(O)C1O
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,O=C(CCCN1CCC(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
O=C(O)CCCCCO,O=C1CCCCCO1
O=C([O-])CCC[C@@H](O)/C=C\C=C\CC[C@@H](O)C/C=C\CCCCC(O)(O)O,O=C([O-])CCCC/C=C\C[C@H](O)CCC=C/C=C\[C@H](O)CCCC(=O)[O-]
Cc1cc2c(O)c(O)ccc2[nH]c1=O,Cc1cc(O)c(C=CC(=O)C(=O)O)[nH]c1=O
CCCCCCCC/C=C\CCCCCCCCCC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](O)COP(=O)([O-])[O-]
NC(CC(O)C(=O)O)C(=O)O,NC(CC(O)C=O)C(=O)O
CC(=O)OC[C@H](COP(=O)([O-])OC[C@@H](O)COP(=O)([O-])[O-])OC(C)=O,CC(=O)OC[C@H](COP(=O)([O-])OC[C@@H](O)CO)OC(C)=O
CCCCC/C=C\C/C=C\C=C\C=C\C(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(O)CCCC(=O)O,CCCCC/C=C\C/C=C\C=C\C=C\C(SCC(N)C(=O)NCC(=O)O)C(O)CCCC(=O)O
O=P(O)(O)OCC1OC(O)CC1O,O=P(O)(O)OC1CC(O)C(CO)O1
O=P([O-])([O-])O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1OP(=O)([O-])[O-],O=P([O-])([O-])O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@@H]1OP(=O)([O-])[O-]
CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12,CCCc1nn(C)c2c(=O)nc(-c3cc([SH](=O)=O)ccc3OCC)[nH]c12
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@H]1O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@H]1O
C[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](C)O[C@@H]2COP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](OP(=O)(O)OC[C@H]2O[C@@H](C)[C@H](O)[C@@H]2O)[C@H]1O,C[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](C)O[C@@H]2COP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3c[n+](C)c4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](OP(=O)(O)OC[C@H]2O[C@@H](C)[C@H](O)[C@@H]2O)[C@H]1O
CCCCC/C=C/C=C1/C(=O)C[C@@H](O)[C@H]1C/C=C\CCCC(=O)[O-],CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)[O-]
CCCCCC1OC1C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],CCCCCC1OC1C/C=C\C/C=C\CCCCC(=O)[O-]
CCN(CC)C(=O)C1(c2ccccc2)CC1CNC(=O)O,CCN(CC)C(=O)C1(c2ccccc2)CC1CNC(=O)OC1OC(C(=O)O)C(O)C(O)C1O
CC(O)=N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](N=C(C)O)[C@H]3O)[C@H](N=C(C)O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,CC(O)=N[C@@H]1C(O)O[C@@H](CO)[C@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2N=C(C)O)[C@H]1O
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,O=C1NC(=O)C(C2=CC(O)C(O)C=C2)(c2ccccc2)N1
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,Cn1cnc([N+](=O)[O-])c1[S+](C)c1ncnc2[nH]cnc12
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CC(=O)C[C@H](c1ccccc1)c1c(O)c2cccc(O)c2oc1=O
NC(CCCCNC(CCC(=O)O)C(=O)O)C(=O)O,O=C(O)CCC(=O)C(=O)O
CCCCCC=CCC=CCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],CCCCCC=CCC=CCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2[C@@H]1OC2COP(=O)([O-])OC2[C@H]1O
CCC(=O)C(=O)O,CCC(O)C(=O)O
CC#CCn1c(N2CCCC(O)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,Cc1nc(Cn2c(=O)c3c(nc(N4CCCC(O)C4)n3CC#CCO)n(C)c2=O)nc2ccccc12
CC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],CC/C=C\C/C=C\C/C=C\C/C=C\C=C\C(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(CO)=CC21,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C(=O)O)=CC21
c1cn[nH]c1,O=C(O)C1OC(n2cccn2)C(O)C(O)C1O
CSC,CS(C)=O
O=P([O-])([O-])O[C@H]1[C@@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](O)[C@@H](O)[C@@H]1OP(=O)([O-])[O-],O=P([O-])([O-])O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OP(=O)([O-])[O-]
CC(C(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])C(O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,CC(C(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O)C(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,Nc1ccc(C(=O)NCCC(=O)O)cc1
O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],O=C(COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,C[C@H](C(=O)O)c1ccc2cc(O)ccc2c1
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O
CSC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,C[S+](CCC[NH3+])C[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,Nc1ccc(C(=O)O)cc1
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccc(O)cc2oc1=O
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)[O-])ccc4[C@H]3CC[C@@]21C
CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,Cc1cccc(C)c1NC(=O)[C@@H]1CCCCN1
CCCCCC/C=C\C/C=C/C(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],CCCCCC/C=C\C[C@H](O)CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-]
Oc1cc2c(cc1O)NCC2,O=C1C=C2CCNC2=CC1=O
O=NN(CO)CCCC(O)c1cccnc1,ON=NCCCC(O)c1cccnc1
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]43C)[C@H]1CC[C@@H]2O,C[C@]12CC[C@H]3[C@H](CC[C@H]4C[C@H](O)CC[C@]43C)[C@H]1CC[C@@H]2O
O=C=O,O=C([O-])O
CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,CCNCCCN(c1ccccc1)C1Cc2ccccc2C1
CCC=CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],CCC=CCC=CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O,Oc1ncnc2[nH]cnc12
N[C@@H](CCSC[C@H](N)C(=O)O)C(=O)O,CC([O-])=NC(CSCCC(N)C(=O)O)C(=O)O
OC[C@@H]1OC(O)[C@H](O)[C@@H]1O,O=P([O-])([O-])OC[C@@H]1OC(O)[C@H](O)[C@@H]1O
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
N=C(N)NCC(=O)O,CN(CC(=O)O)C(=N)N
CC(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](OP(=O)(O)O)[C@H]1O)OC(C)=O,CC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O)OC(C)=O
CO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H]1NC(C)=O,CO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@@H]1NC(C)=O
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3,C[C@@H]1CC[C@H]2[C@@H](C)C(O)O[C@@H]3OC4(C)CC[C@@H]1[C@@]23O4
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,CC12CCC3c4ccc(O)c(O)c4CCC3C1CCC2O
N[C@H]1O[C@@H](COP(=O)([O-])O)[C@H](O)[C@@H]1O,NCC([O-])=NC1O[C@@H](COP(=O)(O)O)[C@H](O)[C@@H]1O
NCCCCN,NCCCC=O
CC(=O)[C@@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CC(=O)[C@@]1(O)CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,OC1(c2ccc(Cl)cc2)CCNCC1
[NH3+]CCc1ccc(Oc2ccc(O)cc2)c(I)c1,[NH3+]CCc1cc(I)c(Oc2ccc(O)cc2)c(I)c1
Cc1cn[nH]c1,O=C(O)c1cn[nH]c1
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,Oc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(CC2CC2)CCC314
OCC1OC(O)C(O)C(O)C1O,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O
CC(O)CCc1ccc2cc(O)ccc2c1,CC(CCc1ccc2cc(O)ccc2c1)OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)CNC(=O)O1,C[C@@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)OC(=O)N[C@H]1O
COc1ccc(OC)c(C(O)CNC(=O)CN)c1,COc1ccc(OC)c(C(O)CN)c1
CCCCCCCCCCCCCC=C[C@@H](O)[C@H](CO[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O[C@]3(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@@H](CO)O[C@]4(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O4)O3)[C@H]2O)[C@H](O)[C@H]1O)NC(C)=O,CCCCCCCCCCCCCC=C[C@@H](O)[C@H](CO[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O[C@]3(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O3)[C@H]2O)[C@H](O)[C@H]1O)NC(C)=O
